Txn Date,Narration,Debit,Credit,Balance
2026-08-01,UPI UBER INDIA,300,,49700
2026-08-02,PIZZA HUT,650,,49050
2026-08-03,SALARY CREDIT,,50000,99050
2026-08-04,RAPIDO,180,,98870
2026-08-05,TEA SHOP,50,,98820
2026-08-06,AMAZON PAY,1200,,97620
2026-08-07,REFUND AMAZON,,500,98120
2026-08-08,SWIGGY,420,,97700
2026-08-09,ELECTRICITY BILL,1450,,96250
2026-08-10,NETFLIX,199,,96051
2026-08-11,APOLLO PHARMACY,780,,95271
2026-08-12,IRCTC TRAIN,950,,94321
2026-08-13,FLIPKART,2500,,91821
2026-08-14,INTEREST CREDIT,,125,91946
