title,description,amount,expense_date
Uber Ride,Airport to Home,300,2026-08-01
Tea Stall,Morning Tea,50,2026-08-01
Amazon Shopping,Wireless Mouse,1200,2026-08-02
Electricity Bill,Monthly Electricity Bill,1500,2026-08-03
Swiggy Order,Chicken Biryani,450,2026-08-04
Ola Ride,Office to Home,500,2026-08-05
Netflix Subscription,Monthly Subscription,649,2026-08-06
Medical Store,Medicine Purchase,800,2026-08-07
Book Store,Java Programming Book,950,2026-08-08
Salary,Monthly Salary,50000,2026-08-10
Petrol,Refilled Bike Fuel,1200,2026-08-11
Zomato Order,Pizza Dinner,650,2026-08-12
Bus Ticket,Travel to Patna,350,2026-08-13
Flipkart Shopping,Keyboard Purchase,1800,2026-08-14
Water Bill,Monthly Water Bill,400,2026-08-15
Gym Membership,Monthly Gym Fee,1000,2026-08-16
Movie Ticket,Weekend Entertainment,600,2026-08-17
Hospital Checkup,Doctor Consultation,1500,2026-08-18
Tuition Fee,Online Course Fee,2500,2026-08-19
Train Ticket,Patna to Delhi,950,2026-08-20
